Amorphous Armorcloud	Amorphe Deckungswolke
Battery Overcharge	Batterieüberladung
Battlecruiser Attack	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
Battlecruiser Move	Battlecruiser Move
Battlecruiser Stop	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	Channel Snipe
Chrono Boost Energy Cost	Chrono Boost Energy Cost
Dark Shrine Research	Dark Shrine Research
Dark Templar Blink	Dark Templar Blink
Infestation Pit Research	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
Launch Interceptors	Launch Interceptors
Locust MP Flying Swoop Attack	Locust MP Flying Swoop Attack
Lurker Den Research	Lurker Den Research
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	Morph To Transport Overlord
Nexus Mass Recall	Nexus Mass Recall
Nexus Shield Recharge	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
Purification Nova Targetted	Purification Nova Targetted
Scrambler Missile	Scrambler Missile
Shredder Missile	Shredder Missile
Shield Recharge	Schildwiederaufladung
Spawn Interceptors	Spawn Interceptors
Spawn Locusts Targeted	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   auf den Boden als automatischer Angriff<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Abbrechen
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	Mikrobischer Schleier
Steady Targeting	Sicheres Zielen
Disable Interceptors	Interceptoren deaktivieren
Entangle	Umschlingen
Interceptor Timed Life	Interceptor - Begrenzte Lebenszeit
Interceptor Wander	Interceptor - Wandern
Restoration Field	Schildladungsfeld
Warping In	Wird herangewarpt
Phased	Phasenverschoben
Interference Matrix	Störmatrix
Armor Reduction	Verringerte Panzerung
Anti-Armor Missile Targeting	Von Panzerabwehrrakete erfasst
Resonating Glaives	Resonanzgleven
Transfusion	Transfusion
