Bypass Armor	Bypass Armor	1
Bypass Armor	Panzerung verringert	3
Lock On Air	Luftziel-Anvisierung	1
Lock On Air	Lock On Air	1
Nexus Shield Overcharge	Nexus Shield Overcharge	1
Nexus Shield Overcharge	Nexusschildüberladung	2
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off	1
Nexus Shield Overcharge Off	Nexusschildüberladung deaktivieren	1
Repair Drone	Repair Drone	1
Repair Drone	Reparaturdrohne	1
Repair	Repair	4
Repair	Reparieren	1
Disruption Blast	Disruption Blast	1
Disruption Blast	Disruptor-Entladung	2
Chrono Boost	Chrono Boost	3
Chrono Boost	Zeitschleife	2
KD8 Charge	KD8 Charge	2
KD8 Charge	KD8-Ladung	2
Purification Nova	Purification Nova	9
Purification Nova	Psi-Nova	2
A tower that can be destroyed to prevent access to new areas or resource locations.	Ein Felshaufen, der zerstört werden kann, um Zugriff auf neue Gebiete oder Ressourcenvorkommen zu verhindern.	5
A tower that can be destroyed to prevent access to new areas or resource locations.	Ein Turm, der zerstört werden kann, um Zugriff auf neue Gebiete oder Ressourcenvorkommen zu verhindern.	4
Disruption Beam	Disruption Beam	2
Disruption Beam	Disruptorstrahl	1
Pulsar Beam	Pulsar Beam	1
Pulsar Beam	Pulsarstrahl	4
Prismatic Beam	Prismastrahl	2
Prismatic Beam	Prismatic Beam	15
Envision	Envision	1
Envision	Klarsicht	2
Oracle Weapon	Oracle Weapon	1
Oracle Weapon	Orakel-Waffe	1
Pulsar Blast	Pulsar Blast	1
Pulsar Blast	Pulsarbeschuss	1
Time Warp	Time Warp	1
Time Warp	Zeitkrümmung	2
Ultralisk Weapon Cooldown	Ultralisk Weapon Cooldown	1
Ultralisk Weapon Cooldown	Ultraliskenwaffenabklingzeit	1
Void Ray Swarm Damage Boost	Void Ray Swarm Damage Boost	1
Void Ray Swarm Damage Boost	Phasengleiter - Schwarm, Schaden - Schub	1
Void Siphon	Void Siphon	1
Void Siphon	Leerensog	2
Seeker Missile	Seeker Missile	1
Seeker Missile	Zielsuchende Rakete	2
Mass Recall	Mass Recall	6
Mass Recall	Massenrückruf	1
Rock	Fels	3
Rock	Felsen	3
Volatile Burst	Volatile Burst	3
Volatile Burst	Explosives Aufplatzen	2
Volatile Burst Building	Volatile Burst Building	1
Volatile Burst Building	Explosives Aufplatzen gegen Gebäude	1
Acid Spines	Acid Spines	2
Acid Spines	Säurestacheln	1
Assault Mode	Assault Mode	1
Assault Mode	Sturmmodus	1
Assault Mode	Kampfausrüstung	1
Land	Land	3
Land	Landen	1
Lift Off	Lift Off	3
Lift Off	Abheben	1
Fighter Mode	Fighter Mode	1
Fighter Mode	Kampffliegermodus	1
Research	Research	1
Research	Forschung	1
Hold Fire	Hold Fire	1
Hold Fire	Feuer einstellen	1
Weapons Free	Weapons Free	2
Weapons Free	Feuer frei	1
Heal	Heal	2
Heal	Heilen	1
Emergency Thrusters	Emergency Thrusters	1
Emergency Thrusters	Notfallschubdüsen	2
Vehicle Afterburners	Vehicle Afterburners	1
Vehicle Afterburners	Fahrzeug - Nachbrenner	1
Bombardment	Bombardment	1
Bombardment	Bombardierung	1
Unload All	Alles ausladen	3
Unload All	Alle ausladen	3
Tactical Jump	Tactical Jump	1
Tactical Jump	Taktischer Warpsprung	1
Might of the Empire	Stärke des Imperiums	7
Might of the Empire	Macht des Imperiums	1
Salvage	Salvage	1
Salvage	Wiederverwertung	2
Gather	Gather	1
Gather	Abbauen	5
EMP Blast	EMP-Ladung	1
EMP Blast	EMP-Entladung	1
Unloads all units.	Lädt alle Einheiten aus.	5
Unloads all units.	Alle Einheiten ausladen.	1
ATA Laser Battery	ATA Laser Battery	2
ATA Laser Battery	LL-Laserbatterie	2
ATS Laser Battery	ATS Laser Battery	2
ATS Laser Battery	LB-Laserbatterie	2
C-10 Canister Rifle	C-10 Canister Rifle	1
C-10 Canister Rifle	K-10-Kanistergewehr	1
Longbolt Missile	Longbolt Missile	3
Longbolt Missile	Kapillar-Rakete	2
Needle Spines	Needle Spines	3
Needle Spines	Nadelstacheln	2
Punisher Grenades	Punisher Grenades	4
Punisher Grenades	Punisher-Granaten	2
Burrow	Burrow	2
Burrow	Eingraben	3
Unburrow	Unburrow	1
Unburrow	Ausgraben	1
Caustic Spray	Caustic Spray	1
Caustic Spray	Ätzendes Sekret	1
F.A.S.T. Overload	F.A.S.T. Overload	2
F.A.S.T. Overload	T.U.R.B.O.-Überladung	2
H.U.G.S. Overload	H.U.G.S. Overload	2
H.U.G.S. Overload	H.E.I.L.E.-Überladung	2
J.U.I.C.E. Overload	J.U.I.C.E. Overload	2
J.U.I.C.E. Overload	S.A.F.T.-Überladung	2
Root	Root	2
Root	Verwurzeln	2
Uproot	Uproot	2
Uproot	Entwurzeln	2
Cancel	Abbrechen	9
Cancel	Cancel	1
Explode	Explode	1
Explode	Explodieren	1
Anti-air defensive structure. <n/><n/><c val="ffff8a">Can attack air units.</c><n/><c val="FFE303">Detector</c>	Luftabwehrstruktur.<n/><n/><c val="ffff8a">Kann Lufteinheiten angreifen.</c><n/><c val="FFE303">Detektor</c>	2
Anti-air defensive structure. <n/><n/><c val="ffff8a">Can attack air units.</c><n/><c val="FFE303">Detector</c>	Luftabwehrstruktur.<n/><n/><c val="ffff8a">Kann Lufteinheiten angreifen.</c><n/><n/><c val="FFE303">Detektor</c>	1
Needle Claws	Needle Claws	1
Needle Claws	Nadelklauen	1
Parasite Spore	Parasite Spore	2
Parasite Spore	Parasitäre Spore	2
Tractor Beam	Tractor Beam	1
Tractor Beam	Traktorstrahl	1
Creep Mend	Creep Mend	1
Creep Mend	Kriecherheilung	1
Mend	Mend	1
Mend	Heilen	5
Spawn Locusts	Spawn Locusts	1
Spawn Locusts	Schrecken erschaffen	1
Acidic Cloud	Acidic Cloud	1
Acidic Cloud	Ätzende Wolke	1
Advanced Construction	Advanced Construction	1
Advanced Construction	Fortgeschrittenes Bauen	3
Structure Overcharge	Structure Overcharge	1
Structure Overcharge	Gebäudeüberladung	3
Attack	Attack	3
Attack	Angreifen	4
Attack	Angriff	3
Bio-Mechanical Transfusion	Bio-Mechanical Transfusion	1
Bio-Mechanical Transfusion	Biomechanische Transfusion	2
Broken Drakken Laser Drill	Broken Drakken Laser Drill	1
Broken Drakken Laser Drill	Defekter Drakken-Laserbohrer	1
Broken Solar Forge	Broken Solar Forge	1
Broken Solar Forge	Beschädigte Solarschmiede	1
Build Railgun Turret	Build Railgun Turret	1
Build Railgun Turret	Railgun-Geschütz bauen	2
Arsenal Overcharge	Arsenal Overcharge	2
Arsenal Overcharge	Kampfüberladung	2
Solar Cannon	Solar Cannon	1
Solar Cannon	Solarkanone	1
Cloaking Field	Cloaking Field	2
Cloaking Field	Tarnfeld	3
Spawn Swarm	Spawn Swarm	1
Spawn Swarm	Schwarm erschaffen	1
Corrosive Acid	Corrosive Acid	1
Corrosive Acid	Ätzende Säure	2
Cyclone Wreckage	Cyclone Wreckage	1
Cyclone Wreckage	Zyklon-Wrack	1
Damaged Evolution Pit	Damaged Evolution Pit	1
Damaged Evolution Pit	Beschädigte Evolutionsgrube	2
DarkPylonMorph	DarkPylonMorph	1
DarkPylonMorph	Transformation zu Dunklen Pylonen	1
Blink	Blink	1
