Amorphous Armorcloud	Nube de blindaje amorfa
Battery Overcharge	Sobrecarga de batería
Battlecruiser Attack	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
Battlecruiser Move	Battlecruiser Move
Battlecruiser Stop	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	Channel Snipe
Chrono Boost Energy Cost	Chrono Boost Energy Cost
Dark Shrine Research	Dark Shrine Research
Dark Templar Blink	Dark Templar Blink
Infestation Pit Research	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
Launch Interceptors	Launch Interceptors
Lock On Air	Fijar objetivo aéreo
Locust MP Flying Swoop Attack	Ataque de descenso en picado de langosta voladora MJ
Lurker Den Research	Lurker Den Research
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	Morph To Transport Overlord
Nexus Mass Recall	Nexus Mass Recall
Nexus Shield Recharge	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
Purification Nova Targetted	Purification Nova Targetted
Scrambler Missile	Scrambler Missile
Shredder Missile	Shredder Missile
Shield Recharge	Recarga de escudo
Spawn Interceptors	Spawn Interceptors
Spawn Locusts Targeted	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>  en el suelo para atacar automáticamente<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancelar
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	Velo microbiano
Steady Targeting	Selección estable de objetivo
Disable Interceptors	Deshabilitar interceptores
Entangle	Enredar
Interceptor Timed Life	Interceptor: duración limitada
Interceptor Wander	Interceptor: vagar
Restoration Field	Campo de restauración
Warping In	Invocando
Phased	En fase
Interference Matrix	Matriz de interferencia
Armor Reduction	Reducción de blindaje
Anti-Armor Missile Targeting	Objetivo de misil antiblindaje
Resonating Glaives	Gujas resonantes
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	El daño recibido de las unidades aéreas se reduce un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
Restoration rate increased. Not consuming energy.	Ritmo de restauración aumentado. No consume energía.
This unit's armor is reduced.	La unidad sufre una reducción de armadura.
This unit is carefully aiming.	Esta unidad apunta con cuidado.
This structure is in an accelerated state.	Esta estructura se encuentra en aceleración.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	El objetivo está afectado por crecimiento fúngico. Queda detectado y su movimiento, restringido.
This unit is grounded and weapons are disabled.	Esta unidad ha sido derribada y sus armas están deshabilitadas.
This unit's movement speed is increased.	Se ha aumentado la velocidad de movimiento de esta unidad.
This unit is being controlled by an Infestor.	Esta unidad está controlada por un infestador.
This Pylon restores shields of friendly units nearby.	Este pilón restaura escudos a las unidades amistosas cercanas.
Unit's shields are being restored.	Se están restaurando los escudos de la unidad.
This unit is invulnerable and is able to move through other units.	Esta unidad es invulnerable y puede pasar a través de otras unidades.
This Pylon has a powerful long-ranged attack.	Este pilón tiene un potente ataque de largo alcance.
Weapons and abilities are disabled.	Las armas y las habilidades están deshabilitadas.
This unit has reduced armor.	Esta unidad tiene armadura reducida.
This unit is being targeted by an Anti-Armor Missile.	Esta unidad es el objetivo de un misil antiblindaje.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Velocidad de ataque de la adepta aumentada un <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
This unit is stunned.	Esta unidad está aturdida.
This unit's attack and movement speeds are reduced by 50%.	Se ha reducido un 50% la velocidad de ataque y de movimiento de esta unidad.
This unit is regenerating health.	Esta unidad está regenerando salud.
Stasis Trap	Trampa de estasis
Research Resonating Glaives	Investigar gujas resonantes
Shield Amplification	Amplificación de escudo
Carrier Capacity	Capacidad del portanaves
Advanced Communications Array	Despliegue de comunicaciones avanzadas
Surface-to-Air Targeting	Objetivo superficie a aire
Rapid Fire Launchers	Lanzadores de disparo rápido
Research Mag-Field Accelerator	Investigar acelerador magnético
Shadow Stride	Zancada sombría
Drilling Claws	Garras perforadoras
Enhanced Shockwaves	Ondas de choque mejoradas
Evolve Microbial Shroud	Evolucionar velo microbiano
Evolve Adaptive Talons	Evolucionar garras adaptables
Evolve Grooved Spines	Evolucionar espinas estriadas
Evolve Muscular Augments	Evolucionar aumento muscular
Evolve Propulsive Peristalsis	Evolucionar propulsión peristáltica
Increased Attack Range	Alcance de ataque aumentado
Increased Movement Speed	Velocidad de movimiento aumentada
Select Larvae	Seleccionar larvas
Mag-Field Launchers	Lanzadores de campo magnético
Observer Mode	Modo observador
Surveillance Mode	Modo vigilancia
Mutate Ventral Sacs	Mutar bolsas ventrales
Cancel Oversight	Cancelar guarda
Oversight	Guarda
Strategic Recall	Retirada estratégica
Subterranean Scales	Escamas subterráneas
Psionic Surge	Oleada psiónica
Rapid Reignition System	Sistema de reignición acelerada
Morph to Ravager	Mutar en asolador
Enhanced Munitions	Munición mejorada
Recalibrated Explosives	Explosivos recalibrados
Build Repair Drone	Construir robot de reparación
Research Enhanced Munitions	Investigar munición mejorada
Anti-Armor Missile	Misil antiblindaje
Research Shield Amplification	Investigar amplificación de escudo
Research Amplified Shielding	Investigar protección amplificada
Research Armor Piercing Rockets	Investigar cohetes perforadores de armadura
Research Carrier Capacity	Investigar capacidad del portanaves
Research Advanced Communications Array	Investigar despliegue de comunicaciones avanzadas
Research Rapid Fire Launchers	Investigar lanzadores de disparo rápido
Research Shadow Stride	Investigar zancada sombría
Research Enhanced Shockwaves	Investigar ondas de choque mejoradas
Research Mag-Field Launchers	Investigar lanzadores de campo magnético
Research Psionic Amplifiers	Investigar amplificador psiónico
Research Psionic Surge	Investigar oleada psiónica
Research Rapid Reignition System	Investigar sistema de reignición acelerada
Research Recalibrated Explosives	Investigar explosivos recalibrados
Research Smart Servos	Investigar servointeligencia
Warp In Shield Battery	Invocar batería de escudos
Restore	Restaurar
Recharge	Recargar
Tectonic Destabilizers	Desestabilizadores tectónicos
Research Tectonic Destabilizers	Investigar desestabilizadores tectónicos
Upgrade Neosteel Armor	Mejorar armadura de neoacero
Concealment	Ocultamiento
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Atrapa a enemigos y los deja en estasis durante <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Las unidades atrapadas no pueden recibir ataques ni ser objetivo de habilidades.
Increases the attack speed of Adepts by 45%.	Aumenta la velocidad de ataque de las adeptas en un 45%.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Aumenta la velocidad de ataque de las <c val="ffff8a">adeptas</c> en un 45%.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Crea un velo que oculta a las unidades terrestres que tiene debajo y reduce un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% el daño que les infligen las unidades aéreas. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> segundos.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Aumenta el alcance de ataque del <c val="ffff8a">fénix</c> en <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
