Amorphous Armorcloud	Nimboarmadura amorfa
Battery Overcharge	Sobrecarga de batería
Battlecruiser Attack	Ataque de Crucero de batalla
Battlecruiser Attack Evaluator	Evaluador de ataque de Crucero de batalla
Battlecruiser Move	Movimiento de Crucero de batalla
Battlecruiser Stop	Detenimiento de Crucero de batalla
Battlecruiser Stop Evaluator	Evaluador de detenimiento de Crucero de batalla
Bypass Armor	Penetración de armadura
Bypass Armor Drone CU	Dron de Penetración de armadura - CU
Channel Snipe	Disparo de precisión
Chrono Boost Energy Cost	Costo de energía de Cronoimpulso
Dark Shrine Research	Investigación de Sagrario oscuro
Infestation Pit Research	Foso de infestación - Investigar
Infestor Ensnare	Atrapar Infestador
Launch Interceptors	Lanzar interceptores
Locust MP Flying Swoop Attack	Locust MP Flying Swoop Attack
Lurker Den Research	Investigación del Cubil de Acechadores
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	Transformar en Amo Supremo de transporte
Nexus Mass Recall	Repliegue en masa del Nexo
Nexus Shield Overcharge	Sobrecarga de escudo del Nexo
Nexus Shield Overcharge Off	Sobrecarga de escudo del Nexo desactivada
Nexus Shield Recharge On Pylon	Recarga de escudos del Nexo en un Pilón
Observer Morph to Observer Siege	Transformación de Observador en Observador de asedio
Observer Siege Morph to Observer	Transformación de Observador de asedio en Observador
Overseer Morph to Overseer Siege Mode	Transformación de Vigía supremo a modo asedio de Vigía supremo
Overseer Siege Mode Morph to Overseer	Transformación de modo asedio de Vigía supremo a Vigía supremo
Purification Nova Targetted	Purification Nova Targetted
Repair Drone	Dron de reparación
Repair	Reparar
Scrambler Missile	Misil desmodulador
Shredder Missile	Misil destructor
Shield Recharge	Recarga de escudos
Spawn Interceptors	Engendrar interceptores
Spawn Locusts Targeted	Engendrar langostas - Objetivo
Disruption Blast	Explosión disruptora
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   en el terreno para Atacar automáticamente<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancelar
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	Velo microbiano
Steady Targeting	Puntería firme
Chrono Boost	Cronoimpulso
Disable Interceptors	Deshabilitar interceptores
Entangle	Enredar
Interceptor Timed Life	Interceptor - Duración limitada
Interceptor Wander	Interceptor - Deambular
Restoration Field	Campo de restauración
Warping In	Transposicionando
Phased	Etéreo
Interference Matrix	Matriz de interferencia
Armor Reduction	Reducción de armadura
Anti-Armor Missile Targeting	Objetivo de Misil antiblindaje
Resonating Glaives	Gladias vibrantes
Transfusion	Transfusión
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	Reduce el daño recibido de unidades aéreas un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
Restoration rate increased. Not consuming energy.	Aumenta el ritmo de restauración. No consume energía.
This unit's armor is reduced.	La armadura de esta unidad está comprometida.
This unit is carefully aiming.	Esta unidad está apuntando cuidadosamente.
This structure is in an accelerated state.	Esta estructura está en estado acelerado.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	El objetivo está afectado por Crecimiento fungoideo. Está detectado y sus movimientos están limitados.
This unit is grounded and weapons are disabled.	Esta unidad está atrapada en el suelo y las armas están deshabilitadas.
This unit's movement speed is increased.	Esta unidad tiene su velocidad de movimiento aumentada.
This unit is being controlled by an Infestor.	Esta unidad está controlada por un Infestador.
This Pylon restores shields of friendly units nearby.	Este Pilón restaura escudos a las unidades aliadas cercanas.
Unit's shields are being restored.	Los escudos de la unidad se están restaurando.
This unit is invulnerable and is able to move through other units.	Esta unidad es invulnerable y puede desplazarse a través de otras unidades.
This Pylon has a powerful long-ranged attack.	Este Pilón tiene un ataque de largo alcance potente.
Weapons and abilities are disabled.	Las armas y habilidades están deshabilitadas.
This unit has reduced armor.	Esta unidad tiene armadura reducida.
This unit is being targeted by an Anti-Armor Missile.	Esta unidad es objetivo de un misil antiblindaje.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Aumenta la velocidad de ataque de la Adepta un <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
This unit is stunned.	Esta unidad está aturdida.
