Amorphous Armorcloud	Armure de brume
Battery Overcharge	Surcharge de batterie
Battlecruiser Attack	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
Battlecruiser Move	Battlecruiser Move
Battlecruiser Stop	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	Channel Snipe
Chrono Boost Energy Cost	Chrono Boost Energy Cost
Dark Shrine Research	Dark Shrine Research
Dark Templar Blink	Dark Templar Blink
Infestation Pit Research	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
Launch Interceptors	Launch Interceptors
Locust MP Flying Swoop Attack	Nuisible - MP piqué aérien - attaque
Lurker Den Research	Lurker Den Research
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	Morph To Transport Overlord
Nexus Mass Recall	Nexus Mass Recall
Nexus Shield Recharge	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
Purification Nova Targetted	Purification Nova Targetted
Scrambler Missile	Scrambler Missile
Shredder Missile	Shredder Missile
Shield Recharge	Recharge de bouclier
Spawn Interceptors	Spawn Interceptors
Spawn Locusts Targeted	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Au sol pour mouvement d’attaque<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Annuler
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	Voile microbien
Steady Targeting	Visée stabilisée
Disable Interceptors	Désactiver les intercepteurs
Entangle	Enchevêtrer
Interceptor Timed Life	Intercepteur - espérance de vie
Interceptor Wander	Intercepteur vagabond
Restoration Field	Champ de restauration
Warping In	Transfert en cours
Phased	Déphasé
Interference Matrix	Matrice d’interférences
Armor Reduction	Réduction d’armure
Anti-Armor Missile Targeting	Ciblage de missile anti-armure
Resonating Glaives	Glaives de résonance
Transfusion	Transfusion
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	Les dégâts infligés par les unités aériennes sont réduits de <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
Restoration rate increased. Not consuming energy.	Taux de restauration augmenté. Aucune consommation d’énergie.
This unit's armor is reduced.	L’armure de cette unité est réduite.
This unit is carefully aiming.	Cette unité ajuste sa visée.
This structure is in an accelerated state.	Le fonctionnement de ce bâtiment est accéléré.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	La cible est affectée par Croissance fongique. Elle ne peut se camoufler et ses déplacements sont limités.
This unit is grounded and weapons are disabled.	Cette unité est clouée au sol et ses armes sont désactivées.
This unit's movement speed is increased.	La vitesse de déplacement de cette unité est augmentée.
This unit is being controlled by an Infestor.	Cette unité est contrôlée par un infestateur.
This Pylon restores shields of friendly units nearby.	Ce pylône restaure le bouclier des unités alliées proches.
Unit's shields are being restored.	Les points de bouclier de l’unité sont restaurés.
This unit is invulnerable and is able to move through other units.	Cette unité est invulnérable et capable de traverser les autres unités.
This Pylon has a powerful long-ranged attack.	Ce pylône possède une puissante attaque à longue portée.
Weapons and abilities are disabled.	Neutralise les armes et les capacités.
This unit has reduced armor.	Les points d’armure de cette unité sont réduits.
This unit is being targeted by an Anti-Armor Missile.	Cette unité est la cible d’un missile anti-armure.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Augmente la vitesse d’attaque de l’adepte de  <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
This unit is stunned.	Cette unité est étourdie.
This unit's attack and movement speeds are reduced by 50%.	Les vitesses de déplacement et d’attaque de cette unité sont réduites de 50%.
This unit is regenerating health.	Cette unité récupère des points de vie.
Stasis Trap	Piège de stase
Research Resonating Glaives	Rechercher Glaives de résonance
Shield Amplification	Amplification de bouclier
Carrier Capacity	Capacité maximale des porte-nefs
Advanced Communications Array	Matrice de communication avancée
Surface-to-Air Targeting	Ciblage sol-air
Rapid Fire Launchers	Tirs en rafale
Research Mag-Field Accelerator	Rechercher Accélérateur de champ magnétique
Shadow Stride	Brèche d’ombre
Drilling Claws	Griffes foreuses
Enhanced Shockwaves	Ondes de choc améliorées
Evolve Microbial Shroud	Évolution Voile microbien
Evolve Adaptive Talons	Évolution Griffes falciformes
Evolve Grooved Spines	Évolution Aiguillons fuselés
Evolve Muscular Augments	Évolution Implants musculaires
Evolve Propulsive Peristalsis	Évolution Propulsion péristaltique
Increased Attack Range	Portée d’attaque augmentée
Increased Movement Speed	Vitesse de déplacement augmentée
Select Larvae	Sélectionner larve
Mag-Field Launchers	Amplificateurs de champ magnétique
Observer Mode	Mode observateur
Surveillance Mode	Mode surveillance
Mutate Ventral Sacs	Mutation Poches ventrales
Cancel Oversight	Annuler Vigilance
Oversight	Vigilance
Strategic Recall	Rappel stratégique
Subterranean Scales	Squames souterraines
Psionic Surge	Impulsion psionique
Rapid Reignition System	Système d’allumage auxiliaire
Morph to Ravager	Transformer en saccageur
Enhanced Munitions	Munitions améliorées
Recalibrated Explosives	Explosifs recalibrés
Build Repair Drone	Construire un drone réparateur
Research Enhanced Munitions	Rechercher Munitions améliorées
Anti-Armor Missile	Missile anti-armure
Research Shield Amplification	Rechercher Amplification de bouclier
Research Amplified Shielding	Rechercher Bouclier amplifié
Research Armor Piercing Rockets	Rechercher Roquettes antiblindage
Research Carrier Capacity	Rechercher Capacité maximale des porte-nefs
Research Advanced Communications Array	Rechercher Matrice de communication avancée
Research Rapid Fire Launchers	Rechercher Tirs en rafale
Research Shadow Stride	Rechercher Brèche d’ombre
Research Enhanced Shockwaves	Rechercher Ondes de choc améliorées
Research Mag-Field Launchers	Rechercher Amplificateurs de champ magnétique
Research Psionic Amplifiers	Rechercher Amplificateurs psioniques
Research Psionic Surge	Rechercher Impulsion psionique
Research Rapid Reignition System	Rechercher Système d’allumage auxiliaire
Research Recalibrated Explosives	Rechercher Explosifs recalibrés
Research Smart Servos	Rechercher Servoaccélérateurs
Warp In Shield Battery	Transférer une batterie de boucliers
Restore	Restaurer
Recharge	Recharge
Tectonic Destabilizers	Déstabilisateurs tectoniques
Research Tectonic Destabilizers	Rechercher Stabilisateurs tectoniques
Upgrade Neosteel Armor	Amélioration Armure en NéoAcier
Concealment	Dissimulation
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Plonge les ennemis proches en stase pendant <d ref="Behavior,OracleStasisTrapTarget,Duration"/>  secondes. Les unités ainsi immobilisées ne peuvent plus être attaquées ni ciblées par des capacités.
Increases the attack speed of Adepts by 45%.	Augmente de 45% la vitesse d’attaque de l’adepte.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Augmente de 45% la vitesse d’attaque de l’<c val="ffff8a">adepte</c>.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Crée un voile qui dissimule les unités terrestres qui se trouvent dessous et réduit les dégâts qu’elles subissent des unités aériennes de <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Dure <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> s.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Augmente de <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/> la portée d’attaque du <c val="ffff8a">Phénix</c>.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Permet des améliorations d’armement et de blindage pour les unités issues de l’usine et du spatioport. <n/><n/><c val="ffff8a">Débloque :</c><n/>- Nettoyeur à l’usine<n/>- Thor à l’usine
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Site de production de l’infanterie.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Marine<n/>- Faucheur <n/>- Bunker construit par un VCS<n/>- Station orbitale à partir du Centre de commandement
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Surcharge une batterie de boucliers ciblée près d’un Nexus, augmentant son taux de restauration de boucliers de 100% et lui permettant de restaurer des boucliers sans consommer d’énergie pendant <d ref="Behavior,BatteryOvercharge,Duration"/> secondes.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	Bâtiment de recherche sur les véhicules. Un laboratoire technique peut être associé à n’importe quel bâtiment de production.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Cyclone<n/>- Char de siège<n/>- Thor avec l’armurerie
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Concentre un rayon sur des unités ennemies et réduit leur armure de 3.<n/>L’effet disparaît après <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> secondes.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Largue un mineur robotique expérimental MULE sur le gisement de minerai ciblé. Il récolte le minerai plus rapidement qu’un VCS.<n/><n/>Le MULE est opérationnel pendant <d ref="Behavior,MULETimedLife,Duration"/> secondes.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Fait passer le nombre maximal d’intercepteurs par porte-nef de 8 à 10.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Augmente la portée de déploiement des <c val="ffff8a">intercepteurs</c> de <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Permet aux zélotes d’intercepter les ennemis proches. Augmente également la vitesse de déplacement des zélotes. La capacité ne peut être utilisée qu’une fois toutes les <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> secondes.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	Place le bâtiment ciblé dans une poussée temporelle, ce qui le fait fonctionner <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% plus vite pendant <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> secondes.
A barrier that can be destroyed to allow access to new areas.	Une barrière qui peut être détruite pour donner accès à de nouvelles zones.
A tower that can be destroyed to prevent access to new areas or resource locations.	Tour pouvant être détruite pour empêcher l’accès à de nouvelles zones ou des emplacements de ressource.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Permet des améliorations d’arme et d’armure pour les unités aériennes protoss, et de transformer les portails en portes de transfert.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Sentinelle au portail<n/>- Traqueur au portail<n/>- Adepte au portail<n/>- Batterie de boucliers avec une sonde
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Véhicule d’assaut mobile. Capable de verrouiller sa cible pour tirer en se déplaçant.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Permet aux armes du Cyclone et à sa capacité Verrouillage de cibler les unités aériennes.
Improves the Lock On ability to fire the first 12 shots quickly.	Améliore la capacité Verrouillage, ce qui permet aux 12 premiers tirs de s’enchaîner rapidement.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Permet aux silos à missiles Typhon du Cyclone et à sa capacité Verrouillage de cibler les unités aériennes.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Augmente les dégâts de la capacité Verrouillage du <c val="ffff8a">Cyclone</c>. Verrouillage inflige 400 (+400 aux unités blindées) points de dégâts en <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondes aux cibles terrestres et aériennes.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Véhicule d’assaut mobile. Capable de verrouiller sa cible pour tirer en se déplaçant.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Permet une amélioration pour le templier noir.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Templier noir au portail<n/>- Fusion en archonte à partir de templiers noirs
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Téléporte le templier noir vers un emplacement ciblé proche. La capacité ne peut être utilisée qu’une fois toutes les <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> secondes.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Unité robotique de disruption. Peut utiliser Nova purificatrice pour infliger d’importants dégâts.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Énergie solarienne hautement concentrée. Explose au bout de <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> secondes, infligeant des dégâts de zone.
This unit burrows faster.	Cette unité s’enfouit plus vite.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Augmente le rayon de Balle IEM du <c val="ffff8a">fantôme</c> de <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	Permet aux <c val="ffff8a">infestateurs</c> d’utiliser la capacité Voile microbien.
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Augmente la vitesse de déplacement de l’<c val="ffff8a">ultralisk</c> hors du mucus.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	Augmente la vitesse de déplacement des <c val="ffff8a">chancres</c> et leur confère +5 points de vie.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	Donne +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> points d’armure aux <c val="ffff8a">ultralisks</c>.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Réduit le temps nécessaire à l’enfouissement des <c val="ffff8a">rôdeurs</c> de <d time="2.5" precision="1"/> à <d time="1" precision="1"/> et augmente leur vitesse de déplacement.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Augmente de +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/> la portée d’attaque de l’<c val="ffff8a">hydralisk</c>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Augmente la vitesse de déplacement de l’<c val="ffff8a">hydralisk</c>.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Augmente les vitesses de chargement et de déchargement du <c val="ffff8a">réseau de Nydus</c> et du <c val="ffff8a">ver de Nydus</c>.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Permet aux <c val="ffff8a">cafards</c> enfouis de se déplacer.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Augmente les dégâts des missiles à tête chercheuse et des tourelles automatisées du Corbeau de 30%.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Site de production de véhicules. <n/><n/><c val="ffff8a">Débloque :</c><n/>- Tourmenteur<n/>- Mine veuve<n/>- Cyclone
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Draine la totalité de l’énergie de la cible. Inflige <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> point de dégâts par point d’énergie drainé.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Permet des améliorations pour le Phénix et le Disloqueur.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Tempête à la porte spatiale<n/>- Porte-nefs à la porte spatiale<n/>- Vaisseau mère à partir du Nexus
Immune to snare, stun, mind control, and movement altering effects.	Immunisé contre les effets de ralentissement, d’étourdissement, de contrôle mental et de modification du déplacement.
