Amorphous Armorcloud	Protezione informe
Battery Overcharge	Sovraccarico batteria
Battlecruiser Attack	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
Battlecruiser Move	Battlecruiser Move
Battlecruiser Stop	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	Channel Snipe
Chrono Boost Energy Cost	Chrono Boost Energy Cost
Dark Shrine Research	Dark Shrine Research
Dark Templar Blink	Dark Templar Blink
Infestation Pit Research	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
Launch Interceptors	Launch Interceptors
Locust MP Flying Swoop Attack	Locusta MG - Picchiata - Attacco
Lurker Den Research	Lurker Den Research
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	Morph To Transport Overlord
Nexus Mass Recall	Nexus Mass Recall
Nexus Shield Recharge	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
Purification Nova Targetted	Purification Nova Targetted
Scrambler Missile	Scrambler Missile
Shredder Missile	Shredder Missile
Shield Recharge	Ricarica scudo
Spawn Interceptors	Spawn Interceptors
Spawn Locusts Targeted	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Attacco automatico<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Annulla
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	Manto microbico
Steady Targeting	Mira salda
Disable Interceptors	Disabilita Intercettori
Entangle	Intralcia
Interceptor Timed Life	Intercettori - Vita a tempo
Interceptor Wander	Intercettori - Allontanamento
Restoration Field	Campo ristoratore
Warping In	Evocazione
Phased	In fase
Interference Matrix	Matrice d'interferenza
Armor Reduction	Riduzione corazza
Anti-Armor Missile Targeting	Puntamento Missile anti-blindatura
Resonating Glaives	Balestra risonante
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	Danni delle unità aeree ridotti del <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
Restoration rate increased. Not consuming energy.	Velocità di ripristino aumentata. Non consuma energia.
This unit's armor is reduced.	La corazza dell'unità è ridotta.
