Bypass Armor	Bypass Armor	1
Bypass Armor	Riduzione corazza	3
Lock On Air	Aggancio Aereo	1
Lock On Air	Aggancio aereo	1
Nexus Shield Overcharge	Nexus Shield Overcharge	1
Nexus Shield Overcharge	Sovraccarico scudo Nexus	2
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off	1
Nexus Shield Overcharge Off	Disattiva Sovraccarico scudo Nexus	1
Repair Drone	Repair Drone	1
Repair Drone	Drone riparatore	1
Repair	Repair	4
Repair	Ripara	1
Disruption Blast	Disruption Blast	1
Disruption Blast	Scarica disgregante	2
Chrono Boost	Chrono Boost	3
Chrono Boost	Accelerazione temporale	2
Transfusion	Transfusion	2
Transfusion	Trasfusione	1
Purification Nova	Purification Nova	9
Purification Nova	Supernova purificante	2
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	Contiene un potenziamento per le Criptolische.<n/><n/><c val="ffff8a">Consente:</c><n/>- Criptolische dalle Idralische	1
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	Contiene un potenziamento per le Criptolische.<n/><n/><c val="ffff8a">Consente:</c><n/>- Criptolische da Idralische	1
Disruption Beam	Disruption Beam	2
Disruption Beam	Raggio disgregante	1
Pulsar Beam	Pulsar Beam	1
Pulsar Beam	Raggio Pulsar	4
Psi Blast	Assalto psionico	1
Psi Blast	Assalto Psionico	1
Prismatic Beam	Raggio prismatico	2
Prismatic Beam	Prismatic Beam	15
Envision	Envision	1
Envision	Presagio	2
Oracle Weapon	Oracle Weapon	1
Oracle Weapon	Oracolo - Arma	1
Pulsar Blast	Pulsar Blast	1
Pulsar Blast	Esplosione Pulsar	1
Time Warp	Time Warp	1
Time Warp	Distorsione temporale	2
Ultralisk Weapon Cooldown	Ultralisk Weapon Cooldown	1
Ultralisk Weapon Cooldown	Recupero armi Ultralisca	1
Void Ray Swarm Damage Boost	Void Ray Swarm Damage Boost	1
Void Ray Swarm Damage Boost	Incremento danni Lancia del Vuoto Swarm	1
Void Siphon	Void Siphon	1
Void Siphon	Sottrazione del Vuoto	2
