Amorphous Armorcloud	Zasłona amorficzna
Battery Overcharge	Przeciążenie generatora
Battlecruiser Attack	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
Battlecruiser Move	Battlecruiser Move
Battlecruiser Stop	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	Channel Snipe
Chrono Boost Energy Cost	Chrono Boost Energy Cost
Dark Shrine Research	Dark Shrine Research
Dark Templar Blink	Dark Templar Blink
Infestation Pit Research	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
Launch Interceptors	Launch Interceptors
Locust MP Flying Swoop Attack	Szarańcza MP Latająca Lądowanie Atak
Lurker Den Research	Lurker Den Research
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	Morph To Transport Overlord
Nexus Mass Recall	Nexus Mass Recall
Nexus Shield Recharge	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
Purification Nova Targetted	Purification Nova Targetted
Scrambler Missile	Scrambler Missile
Shredder Missile	Shredder Missile
Shield Recharge	Doładowanie osłon
Spawn Interceptors	Spawn Interceptors
Spawn Locusts Targeted	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – ziemię, aby automatycznie zaatakować.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
Combat_Mechanic_KillTransport_TransportOverlord	Walka_Mechaniczne_ZabijTransport_TransportNadrządca
Combat_Spells_PhasePrism_Adept	Walka_Zdolności_PryzmatFazowy_Adept
Microbial Shroud	Kłębowisko mikrobów
Steady Targeting	Wycelowanie
Disable Interceptors	Wyłącz przechwytywacze
Entangle	Usidlenie
Interceptor Timed Life	Przechwytywacz Ograniczony czas życia
Interceptor Wander	Przechwytywacz Wędrówka
Restoration Field	Pole regenerujące
Warping In	Przyzywanie
Phased	Zfazowany
Interference Matrix	Matryca zakłócająca
Armor Reduction	Osłabienie pancerza
Anti-Armor Missile Targeting	Namierzanie pociskami
Resonating Glaives	Rezonujące ostrza
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	Obrażenia otrzymywane od jednostek powietrznych zostają zmniejszone o <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
Restoration rate increased. Not consuming energy.	Zwiększone tempo przywracania osłon. Brak zużycia energii.
This unit's armor is reduced.	Pancerz tej jednostki został osłabiony.
This unit is carefully aiming.	Ta jednostka przymierza się do strzału.
This structure is in an accelerated state.	Ta budowla znajduje się w stanie przyspieszenia.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	Cel zostaje dotknięty przyrostem grzybni, wykryty i ma ograniczoną zdolność ruchu.
This unit is grounded and weapons are disabled.	Ta jednostka jest uziemiona, a jej uzbrojenie wyłączone.
This unit's movement speed is increased.	Szybkość ruchu jednostki zostaje zwiększona.
This unit is being controlled by an Infestor.	Ta jednostka jest kontrolowana przez infektora.
This Pylon restores shields of friendly units nearby.	Ten pylon przywraca osłony pobliskich jednostek sojuszniczych.
Unit's shields are being restored.	Osłony jednostki zostają przywrócone.
This unit is invulnerable and is able to move through other units.	Jednostka jest niewrażliwa na ataki i może przenikać przez inne jednostki.
This Pylon has a powerful long-ranged attack.	Ten pylon dysponuje potężnym atakiem dalekiego zasięgu.
Weapons and abilities are disabled.	Uzbrojenie i zdolności zostają wyłączone.
This unit is being targeted by an Anti-Armor Missile.	Ta jednostka jest namierzana przez pocisk przeciwpancerny.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Szybkość ataku adepta zostaje zwiększona o <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
This unit's attack and movement speeds are reduced by 50%.	Szybkość ruchu i ataku tej jednostki została zmniejszona o 50%.
This unit is regenerating health.	Ta jednostka odzyskuje zdrowie.
Stasis Trap	Okowy zastoju
Research Resonating Glaives	Opracuj rezonujące ostrza
Shield Amplification	Wzmocnienie osłon
Carrier Capacity	Pojemność lotniskowca
Advanced Communications Array	Zaawansowany system komunikacji
Surface-to-Air Targeting	Namierzanie ziemia-powietrze
Rapid Fire Launchers	Szybkostrzelne wyrzutnie
Research Mag-Field Accelerator	Opracuj akcelerator pola magnetycznego
Shadow Stride	Mroczne przejście
Drilling Claws	Szpony drążące
Enhanced Shockwaves	Wzmocniona fala uderzeniowa
Evolve Microbial Shroud	Wyewoluuj kłębowisko mikrobów
Evolve Adaptive Talons	Wyewoluuj adaptabilne szpony
Evolve Grooved Spines	Wyewoluuj rowkowane kolce
Evolve Muscular Augments	Wyewoluuj wzmocnienia mięśni
Evolve Propulsive Peristalsis	Wyewoluuj perystaltykę propulsyjną
Increased Attack Range	Zwiększenie zasięgu ataku
Increased Movement Speed	Zwiększenie szybkości ruchu
Select Larvae	Wybierz larwy
Mag-Field Launchers	Wyrzutnie magnetyczne
Observer Mode	Tryb obserwatora
Surveillance Mode	Tryb nadzoru
Mutate Ventral Sacs	Zmutuj komory brzuszne
Cancel Oversight	Anuluj nadzór
Oversight	Nadzór
Strategic Recall	Strategiczne przywołanie
Subterranean Scales	Podziemne łuski
Psionic Surge	Szarża psioniczna
Rapid Reignition System	Układ szybkiego rozruchu
Morph to Ravager	Przekształć w pustoszyciela
Enhanced Munitions	Ulepszona amunicja
Recalibrated Explosives	Skalibrowane ładunki wybuchowe
Build Repair Drone	Stwórz drona naprawczego
Research Enhanced Munitions	Opracuj ulepszoną amunicję
Anti-Armor Missile	Pocisk przeciwpancerny
Research Shield Amplification	Opracuj wzmocnienie osłon
Research Amplified Shielding	Opracuj wzmocnione osłony
Research Armor Piercing Rockets	Opracuj rakiety przeciwpancerne
Research Carrier Capacity	Opracuj pojemność lotniskowca
Research Advanced Communications Array	Opracuj zaawansowany system komunikacji
Research Rapid Fire Launchers	Opracuj szybkostrzelne wyrzutnie
Research Shadow Stride	Opracuj mroczne przejście
Research Enhanced Shockwaves	Opracuj wzmocnioną falę uderzeniową
Research Mag-Field Launchers	Opracuj wyrzutnie magnetyczne
Research Psionic Amplifiers	Opracuj wzmacniacze psioniczne
Research Psionic Surge	Opracuj szarżę psioniczną
Research Rapid Reignition System	Opracuj układ szybkiego rozruchu
Research Recalibrated Explosives	Opracuj skalibrowane ładunki wybuchowe
Research Smart Servos	Opracuj inteligentne serwomechanizmy
Warp In Shield Battery	Przyzwij generator osłon
Restore	Przywróć
Recharge	Doładuj
Tectonic Destabilizers	Destabilizator tektoniczny
Research Tectonic Destabilizers	Opracuj destabilizator tektoniczny
Upgrade Neosteel Armor	Ulepsz pancerz neostalowy
Concealment	Ukrycie
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Więzi pobliskich wrogów w zastoju na <d ref="Behavior,OracleStasisTrapTarget,Duration"/> sek. Uwięzione jednostki nie mogą zostać zaatakowane ani objęte efektami umiejętności.
Increases the attack speed of Adepts by 45%.	Zwiększa szybkość ataku adeptów o 45%.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Zwiększa szybkość ataku <c val="ffff8a">adeptów</c> o 45%.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Tworzy nad jednostkami naziemnymi zasłonę, która zmniejsza obrażenia zadawane przez jednostki powietrzne o <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Działa <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> sek.
