Bypass Armor	Bypass Armor	1
Bypass Armor	Osłab pancerz	3
Lock On Air	Namierzanie powietrzne	1
Lock On Air	Lock On Air	1
Nexus Shield Overcharge	Nexus Shield Overcharge	1
Nexus Shield Overcharge	Przeciążenie osłon nexusa	2
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off	1
Nexus Shield Overcharge Off	Przeciążenie osłon nexusa wył.	1
Repair Drone	Repair Drone	1
Repair Drone	Dron naprawczy	1
Repair	Repair	4
Repair	Naprawa	1
Disruption Blast	Disruption Blast	1
Disruption Blast	Pocisk destabilizujący	2
Chrono Boost	Chrono Boost	3
Chrono Boost	Zagięcie czasoprzestrzeni	2
Transfusion	Transfusion	2
Transfusion	Transfuzja	1
This unit has reduced armor.	Pancerz tej jednostki został osłabiony.	1
This unit has reduced armor.	Ta jednostka ma osłabiony pancerz.	1
This unit is stunned.	Jednostka jest ogłuszona.	4
This unit is stunned.	Ta jednostka jest ogłuszona.	3
KD8 Charge	KD8 Charge	2
KD8 Charge	Ładunek KD8	2
Purification Nova	Purification Nova	9
Purification Nova	Oczyszczający rozbłysk	2
A tower that can be destroyed to prevent access to new areas or resource locations.	Wieża, którą można zniszczyć w celu zagrodzenia dostępu do nowych obszarów lub miejsc z surowcami.	4
A tower that can be destroyed to prevent access to new areas or resource locations.	Wieża, którą można zniszczyć w celu ograniczenia dostępu do nowego obszary lub miejsca z surowcami.	5
Disruption Beam	Disruption Beam	2
Disruption Beam	Promień rozrywający	1
Pulsar Beam	Pulsar Beam	1
Pulsar Beam	Wiązka pulsarowa	4
Prismatic Beam	Wiązka pryzmatyczna	2
Prismatic Beam	Prismatic Beam	15
Envision	Envision	1
Envision	Wizja	2
Oracle Weapon	Oracle Weapon	1
Oracle Weapon	Broń wyroczni	1
Pulsar Blast	Pulsar Blast	1
Pulsar Blast	Wybuch pulsarowy	1
Time Warp	Time Warp	1
Time Warp	Zakrzywienie czasoprzestrzeni	2
Ultralisk Weapon Cooldown	Ultralisk Weapon Cooldown	1
Ultralisk Weapon Cooldown	Ultralisk Broń Czas odnowienia	1
Void Ray Swarm Damage Boost	Void Ray Swarm Damage Boost	1
Void Ray Swarm Damage Boost	Promień otchłani Swarm Obrażenia Zwiększenie	1
Void Siphon	Void Siphon	1
Void Siphon	Wyssanie otchłani	2
Seeker Missile	Seeker Missile	1
Seeker Missile	Pocisk Łowca	2
Mass Recall	Mass Recall	6
Mass Recall	Przywołanie zbiorcze	1
Volatile Burst	Volatile Burst	3
Volatile Burst	Niestabilny rozprysk	2
Acid Spines	Acid Spines	2
Acid Spines	Kolce kwasowe	1
Assault Mode	Assault Mode	1
Assault Mode	Tryb szturmowy	1
Assault Mode	Tryb Szturmowy	1
Land	Land	3
Land	Ląduj	1
Lift Off	Lift Off	3
Lift Off	Wzlot	1
Fighter Mode	Fighter Mode	1
Fighter Mode	Tryb myśliwski	1
Research	Research	1
Research	Badania	1
Hold Fire	Hold Fire	1
Hold Fire	Wstrzymanie ognia	1
Weapons Free	Weapons Free	2
Weapons Free	Podejmij ostrzał	1
Heal	Heal	2
Heal	Lecz	1
Emergency Thrusters	Emergency Thrusters	1
Emergency Thrusters	Dopalacze	2
Vehicle Afterburners	Vehicle Afterburners	1
Vehicle Afterburners	Dopalacze pojazdu	1
Slow	Spowolnienie	3
Slow	Wolna	1
Slow	Mała	1
This unit has increased attack and movement speed.	Ta jednostka porusza się i atakuje szybciej.	1
This unit has increased attack and movement speed.	Szybkość ruchu i ataku tej jednostki została zwiększona.	1
Bombardment	Bombardment	1
Bombardment	Bombardowanie	1
Tactical Jump	Tactical Jump	1
Tactical Jump	Skok taktyczny	1
Salvage	Salvage	1
Salvage	Złomuj	1
Salvage	Złomowanie	1
Gather	Gather	1
Gather	Gromadź	5
Allows Shock Divisions in Siege Mode to fire at air units at a reduced rate while being carried by an Imperial Intercessor.	Pozwala Dywizjom Uderzeniowym w trybie oblężniczym transportowanym przez Imperialne Łączniki ostrzeliwać w wolniejszym tempie jednostki powietrzne.	1
Allows Shock Divisions in Siege Mode to fire at air units at a reduced rate while being carried by an Imperial Intercessor.	Pozwala transportowanym przez Imperialne Łączniki Dywizjom Uderzeniowym w trybie oblężniczym ostrzeliwać w wolniejszym tempie jednostki powietrzne.	1
Anti-air defensive structure.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c><n/><c val="FFE303">Detector</c>	Budowla obrony przeciwlotniczej.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki powietrzne.</c><n/><c val="FFE303">Wykrywacz</c>	5
Anti-air defensive structure.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c><n/><c val="FFE303">Detector</c>	Podstawowa budowla obrony przeciwlotniczej.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki powietrzne.</c><n/><c val="FFE303">Wykrywacz</c>	1
ATA Laser Battery	ATA Laser Battery	2
ATA Laser Battery	Bateria laserowa P-P	2
ATS Laser Battery	ATS Laser Battery	2
ATS Laser Battery	Bateria laserowa P-Z	2
C-10 Canister Rifle	C-10 Canister Rifle	1
C-10 Canister Rifle	Karabin kartaczowy C-10	1
+~A~	+~A~ pkt.	5
+~A~	+~A~	1
Longbolt Missile	Longbolt Missile	3
Longbolt Missile	Rakieta Longbolt	2
Needle Spines	Needle Spines	3
Needle Spines	Igłokolce	2
Punisher Grenades	Punisher Grenades	4
Punisher Grenades	Granaty Punisher	2
Burrow	Burrow	2
Burrow	Zagrzeb	2
Burrow	Zagrzebanie	1
Unburrow	Unburrow	1
Unburrow	Wygrzeb	1
Caustic Spray	Caustic Spray	1
Caustic Spray	Palący rozprysk	1
