Amorphous Armorcloud	Blindagem Nebulosa Amorfa
Battery Overcharge	Sobrecarga de Bateria
Battlecruiser Attack	Ataque do Cruzador de Batalha
Battlecruiser Attack Evaluator	Analisador de Ataque do Cruzador de Batalha
Battlecruiser Move	Movimento do Cruzador de Batalha
Battlecruiser Stop	Parada do Cruzador de Batalha
Battlecruiser Stop Evaluator	Analisador de Parada do Cruzador de Batalha
Bypass Armor	Ignorar Armadura
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	Disparo Canalizado
Chrono Boost Energy Cost	Custo de Energia de Reforço Temporal
Dark Shrine Research	Pesquisa de Santuário das Trevas
Dark Templar Blink	Translação do Templário das Trevas
Infestation Pit Research	Pesquisar Fosso de infestação
Infestor Ensnare	Emaranhar do Infestador
Launch Interceptors	Lançar Interceptores
Lock On Air	Travar Ar
Locust MP Flying Swoop Attack	Gafanhoto MP - Ataque Rasante
Lurker Den Research	Pesquisa de Covil de Furtivo
Lurker Remove Hold Fire	Furtivo - Remover Cessar Fogo
Morph To Transport Overlord	Transmutar para Transporte - Suserano
Nexus Mass Recall	Convocação em Massa do Nexus
Nexus Shield Overcharge	Sobrecarga de Escudos do Nexus
Nexus Shield Overcharge Off	Sobrecarga de Escudos do Nexus Desativada
Nexus Shield Recharge	Recarga de Escudo do Nexus
Nexus Shield Recharge On Pylon	Escudo do Nexus: Recarregar no Pilar
Observer Morph to Observer Siege	Vigia - Transmutar para Vigia de Cerco
Observer Siege Morph to Observer	Vigia de Cerco - Transmutar para Vigia
Overseer Morph to Overseer Siege Mode	Supervigia - Transmutar em Supervigia em Modo Agressivo
Overseer Siege Mode Morph to Overseer	Supervigia em Modo Agressivo - Transmutar em Supervigia
Purification Nova Targetted	Nova de Purificação Alvejada
Repair Drone	Drone de Conserto
Repair	Consertar
Scrambler Missile	Míssil Misturador
Shredder Missile	Míssil Retalhador
Shield Recharge	Recarga de Escudo
Spawn Interceptors	Gerar Interceptores
Spawn Locusts Targeted	Gerar Gafanhotos - Alvejado
Disruption Blast	Impacto de Disrupção
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   no solo para atacar automaticamente<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancelar
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	Mortalha Microbiana
Steady Targeting	Mira Estável
Disable Interceptors	Desativar Interceptores
Entangle	Emaranhar
Interceptor Timed Life	Interceptores - Vida Limitada
Interceptor Wander	Afastar Interceptor
Restoration Field	Campo de Restauração
Warping In	Transdobrando
Phased	Fásico
Interference Matrix	Matriz de Interferência
Armor Reduction	Redução de Blindagem
Anti-Armor Missile Targeting	Alvo de Míssil Antiblindagem
Resonating Glaives	Glaives Ressonantes
Transfusion	Transfusão
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	O dano recebido de unidades aéreas é reduzido em <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
Restoration rate increased. Not consuming energy.	Taxa de restauração aumentada. Não consome energia.
This unit's armor is reduced.	A armadura desta unidade está reduzida.
This unit is carefully aiming.	Esta unidade está mirando com cuidado.
This structure is in an accelerated state.	Esta estrutura está em estado acelerado.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	O alvo foi afetado por Crescimento Fúngico. O alvo foi detectado e tem movimentação restrita.
This unit is grounded and weapons are disabled.	Esta unidade está aterrada e suas armas estão desativadas.
This unit's movement speed is increased.	A velocidade de movimento desta unidade aumentou.
This unit is being controlled by an Infestor.	Esta unidade está sendo controlada por um Infestador.
This Pylon restores shields of friendly units nearby.	Este pilar restaura escudos de unidades próximas.
Unit's shields are being restored.	Escudos da unidade estão sendo restaurados.
