Amorphous Armorcloud	Аморфное бронеоблако
Battery Overcharge	Перегрузка щита
Battlecruiser Attack	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
Battlecruiser Move	Battlecruiser Move
Battlecruiser Stop	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	Channel Snipe
Chrono Boost Energy Cost	Chrono Boost Energy Cost
Dark Shrine Research	Dark Shrine Research
Dark Templar Blink	Dark Templar Blink
Infestation Pit Research	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
Launch Interceptors	Launch Interceptors
Locust MP Flying Swoop Attack	Атака летающего саранчида: MP, пикирование
Lurker Den Research	Lurker Den Research
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	Morph To Transport Overlord
Nexus Mass Recall	Nexus Mass Recall
Nexus Shield Recharge	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
Purification Nova Targetted	Purification Nova Targetted
Scrambler Missile	Scrambler Missile
Shredder Missile	Shredder Missile
Shield Recharge	Перезарядка щита
Spawn Interceptors	Spawn Interceptors
Spawn Locusts Targeted	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> (по земле) – автоатака<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – отмена
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	Микробная завеса
Steady Targeting	Точное прицеливание
Disable Interceptors	Отключить перехватчики
Entangle	Связывание
Interceptor Timed Life	Перехватчики: время существования
Interceptor Wander	Перехватчики: блуждание
Neural Parasite Children	Жертвы нейропаразита
Restoration Field	Заряжающее поле
Warping In	Вызов
Phased	Нематериален
Interference Matrix	Инвазивная матрица
Armor Reduction	Ослабление брони
Anti-Armor Missile Targeting	Захват цели бронебойной ракетой
Resonating Glaives	Резонирующие глефы
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	Получаемый урон от воздушных войск уменьшен на <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
Restoration rate increased. Not consuming energy.	Скорость перезарядки щита повышена. Не расходует энергию.
This unit's armor is reduced.	Броня этой боевой единицы ослаблена.
This unit is carefully aiming.	Эта боевая единица осуществляет точное прицеливание.
This structure is in an accelerated state.	Это строение функционирует с повышенной скоростью.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	Цель поражена микозом. Она распознана, и ее передвижение ограничено.
This unit is grounded and weapons are disabled.	Невозможно подняться в воздух, орудия выведены из строя.
This unit's movement speed is increased.	Скорость передвижения повышена.
This unit is being controlled by an Infestor.	Эта единица контролируется заразителем.
This Pylon restores shields of friendly units nearby.	Этот пилон восстанавливает щиты находящимся поблизости союзным войскам.
Unit's shields are being restored.	Восстановление щитов.
This unit is invulnerable and is able to move through other units.	Эта боевая единица неуязвима и может проходить сквозь другие боевые единицы.
This Pylon has a powerful long-ranged attack.	Этот пилон может наносить большой урон целям на значительном расстоянии.
Weapons and abilities are disabled.	Вооружение и способности недоступны.
This unit has reduced armor.	Броня ослаблена.
This unit is being targeted by an Anti-Armor Missile.	Эта боевая единица является целью бронебойной ракеты.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Скорость атаки адепта повышена на <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
This unit is stunned.	Оглушение.
This unit's attack and movement speeds are reduced by 50%.	Скорость атаки и передвижения снижена на 50%.
This unit is regenerating health.	Восстановление здоровья.
Stasis Trap	Стазисная ловушка
Research Resonating Glaives	Разработать резонирующие глефы
Shield Amplification	Улучшенные щиты
Carrier Capacity	Вместимость авианосцев
Advanced Communications Array	Улучшенные антенны
Surface-to-Air Targeting	Система наведения земля-воздух
Rapid Fire Launchers	Скорострельные пусковые установки
Research Mag-Field Accelerator	Разработать ускоритель магнитного поля
Shadow Stride	Поступь тени
Drilling Claws	Когти для бурения
Enhanced Shockwaves	Усиленные волны
Evolve Microbial Shroud	Развить способность «Микробная завеса»
Evolve Adaptive Talons	Развить адаптивные когти
Evolve Grooved Spines	Развить полые костяные иглы
Evolve Muscular Augments	Развить наращивание мускулов
Evolve Propulsive Peristalsis	Развить реактивную перистальтику
Increased Attack Range	Увеличенная дальность атаки
Increased Movement Speed	Повышенная скорость передвижения
Select Larvae	Выбрать личинок
Mag-Field Launchers	Магнитные пусковые установки
Observer Mode	Режим наблюдателя
Surveillance Mode	Режим разведки
Mutate Ventral Sacs	Развить брюшные мешки
Cancel Oversight	Прекратить наблюдение
Oversight	Наблюдение
Strategic Recall	Стратегический скачок
Subterranean Scales	Подземная чешуя
Psionic Surge	Псионная волна
Rapid Reignition System	Система повторного зажигания
Morph to Ravager	Мутировать в разорителя
Enhanced Munitions	Улучшенный боезапас
Recalibrated Explosives	Перекалиброванная взрывчатка
Build Repair Drone	Создать ремонтный дрон
Research Enhanced Munitions	Разработать улучшенный боезапас
Anti-Armor Missile	Бронебойная ракета
Research Shield Amplification	Разработать улучшенные щиты
Research Amplified Shielding	Разработать усиленные щиты
Research Armor Piercing Rockets	Разработать бронебойные ракеты
Research Carrier Capacity	Разработать увеличение вместимости авианосцев
Research Advanced Communications Array	Разработать улучшенные антенны
Research Rapid Fire Launchers	Разработать скорострельные пусковые установки
Research Shadow Stride	Разработать способность «Поступь тени»
Research Enhanced Shockwaves	Разработать усиленные волны
Research Mag-Field Launchers	Разработать магнитные пусковые установки
Research Psionic Amplifiers	Разработать псионные усилители
Research Psionic Surge	Разработать псионную волну
Research Rapid Reignition System	Разработать систему повторного зажигания
Research Recalibrated Explosives	Разработать перекалиброванную взрывчатку
Research Smart Servos	Разработать универсальные приводы
Warp In Shield Battery	Вызвать батарею щитов
