Bypass Armor	Bypass Armor	1
Bypass Armor	Обход брони	3
Lock On Air	Захват воздушной цели	1
Lock On Air	Lock On Air	1
Nexus Shield Overcharge	Nexus Shield Overcharge	1
Nexus Shield Overcharge	Перегрузка щита нексуса	2
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off	1
Nexus Shield Overcharge Off	Перегрузка щита нексуса отключена	1
Repair Drone	Repair Drone	1
Repair Drone	Ремонтный дрон	1
Repair	Repair	4
Repair	Ремонтировать	1
Disruption Blast	Disruption Blast	1
Disruption Blast	Дестабилизирующий взрыв	2
Chrono Boost	Chrono Boost	3
Chrono Boost	Темпоральное ускорение	2
Transfusion	Transfusion	2
Transfusion	Переливание	1
KD8 Charge	KD8 Charge	2
KD8 Charge	Взрывчатка KD8	2
Purification Nova	Purification Nova	9
Purification Nova	Взрыв очищения	2
Disruption Beam	Disruption Beam	2
Disruption Beam	Разрушающий луч	1
Pulsar Beam	Pulsar Beam	1
Pulsar Beam	Пульсарный луч	4
Prismatic Beam	Призматический луч	2
Prismatic Beam	Prismatic Beam	15
Envision	Envision	1
Envision	Предвидение	2
Oracle Weapon	Oracle Weapon	1
Oracle Weapon	Оракул - оружие	1
Pulsar Blast	Pulsar Blast	1
Pulsar Blast	Пульсарный взрыв	1
Time Warp	Time Warp	1
Time Warp	Искривление времени	2
Ultralisk Weapon Cooldown	Ultralisk Weapon Cooldown	1
Ultralisk Weapon Cooldown	Восстановление атаки ультралиска	1
Void Ray Swarm Damage Boost	Void Ray Swarm Damage Boost	1
Void Ray Swarm Damage Boost	Излучатель Пустоты - Swarm - урон - ускорение	1
Void Siphon	Void Siphon	1
Void Siphon	Поток Пустоты	2
Seeker Missile	Seeker Missile	1
Seeker Missile	Ракета «Гончая»	2
Mass Recall	Mass Recall	6
Mass Recall	Массовая телепортация	1
Heavy assault beast. Has an area-damage attack.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Тяжелобронированный зверь, наносящий урон всем противникам, находящимся перед ним.<n/><n/><c val="ffff8a">Атакует только наземные цели.</c>	1
Heavy assault beast. Has an area-damage attack.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Тяжелобронированный зверь. Атаки наносят урон по области.<n/><n/><c val="ffff8a">Атакует только наземные цели.</c>	1
Rock Tower	Каменная башня	1
Rock Tower	Груда камней	3
Rocks	Камни	2
Rocks	Скалы	10
Volatile Burst	Volatile Burst	3
Volatile Burst	Кислотный взрыв	2
Acid Spines	Acid Spines	2
Acid Spines	Кислотные шипы	1
Assault Mode	Assault Mode	1
Assault Mode	Штурмовой режим	2
Land	Land	3
Land	Приземлиться	1
Lift Off	Lift Off	3
Lift Off	Взлететь	1
Fighter Mode	Fighter Mode	1
Fighter Mode	Режим истребителя	1
Research	Research	1
Research	Разработка	1
Hold Fire	Hold Fire	1
Hold Fire	Запретить атаку	1
Weapons Free	Weapons Free	2
Weapons Free	Разрешить атаку	1
Heal	Heal	2
Heal	Лечение	1
Vehicle Afterburners	Vehicle Afterburners	1
Vehicle Afterburners	Транспортный форсаж	1
Slow	Медленный	1
Slow	Медленная	1
Slow	Медленно	1
Slow	низкая	2
Load	Загрузка	1
Load	Сохраненные игры	1
Tactical Jump	Tactical Jump	1
Tactical Jump	Тактический скачок	1
Salvage	Salvage	1
Salvage	Демонтаж	1
Salvage	Демонтировать	1
Gather	Gather	1
Gather	Добывать	5
Primary structure. Must land to receive resources, produce units, or use abilities.	Основное строение. Командный центр должен приземлиться, чтобы производить войска, принимать на хранение ресурсы и использовать способности.	1
Primary structure. Must land to receive resources, produce units, or use abilities.	Основное строение. Станция наблюдения должна приземлиться, чтобы производить войска, принимать на хранение ресурсы и использовать способности.	1
ATA Laser Battery	ATA Laser Battery	2
ATA Laser Battery	Лазерная батарея «воздух-воздух»	2
ATS Laser Battery	ATS Laser Battery	2
ATS Laser Battery	Лазерная батарея «воздух-земля»	2
C-10 Canister Rifle	C-10 Canister Rifle	1
C-10 Canister Rifle	Карабин C-10	1
+~A~%	+~A~%	41
+~A~%	+~A~	1
+~A~%	-~A~%	1
Longbolt Missile	Longbolt Missile	3
Longbolt Missile	Дальнобойные ракеты	2
Needle Spines	Needle Spines	3
Needle Spines	Костяные иглы	2
Punisher Grenades	Punisher Grenades	4
Punisher Grenades	Гранаты «Каратель»	2
Burrow	Burrow	2
Burrow	Закопаться	1
Burrow	Закапывание	2
Unburrow	Unburrow	1
Unburrow	Выкопаться	1
Caustic Spray	Caustic Spray	1
Caustic Spray	Разъедающие брызги	1
F.A.S.T. Overload	F.A.S.T. Overload	2
F.A.S.T. Overload	Перегрузка режима БыРОМ	2
H.U.G.S. Overload	H.U.G.S. Overload	2
H.U.G.S. Overload	Перегрузка режима ХИЛЯЙ	2
J.U.I.C.E. Overload	J.U.I.C.E. Overload	2
J.U.I.C.E. Overload	Перегрузка режима ЖИРОК	2
Root	Root	2
Root	Окопаться	2
Uproot	Uproot	2
Uproot	Выкопаться	2
Cancel	Отменить	1
Cancel	Cancel	1
Cancel	Отмена	8
Explode	Explode	1
Explode	Взрыв	1
Suicide unit. Does damage over a small area on death. <n/><n/><c val="ffff8a">Can attack ground units.</c>	Живая бомба. Взрываясь, наносит урон противникам в небольшом радиусе.<n/><n/><c val="ffff8a">Поражает только наземные цели.</c>	2
Suicide unit. Does damage over a small area on death. <n/><n/><c val="ffff8a">Can attack ground units.</c>	Живая бомба. В момент гибели наносит урон в небольшой области. <n/><n/><c val="ffff8a">Атакует только наземные цели.</c>	1
Ranged attacker.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Воин дальнего боя.<n/><n/><c val="ffff8a">Атакует наземные и воздушные цели.</c>	2
Ranged attacker.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Единица дальнего боя.<n/><n/><c val="ffff8a">Атакует воздушные и наземные цели.</c>	1
Ranged attacker.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Единица дальнего боя.<n/><n/><c val="ffff8a">Атакует наземные и воздушные цели.</c>	1
Burrowed	Закопавшийся	8
Burrowed	Закопавшаяся	1
Needle Claws	Needle Claws	1
Needle Claws	Острые когти	1
Parasite Spore	Parasite Spore	2
Parasite Spore	Паразитические споры	2
Limit 1	Отсутствие такого же строения	16
Limit 1	Отсутствие такого же корабля	1
Tractor Beam	Tractor Beam	1
Tractor Beam	Притягивающий луч	1
Creep Mend	Creep Mend	1
Creep Mend	Исцеляющая слизь	1
Mend	Mend	1
Mend	Излечение	5
Acidic Cloud	Acidic Cloud	1
Acidic Cloud	Кислотное облако	1
Advanced Construction	Advanced Construction	1
Advanced Construction	Ускоренное строительство	3
Structure Overcharge	Structure Overcharge	1
Structure Overcharge	Перегрузка строения	3
Attack	Attack	3
Attack	Атаковать	7
Bio-Mechanical Transfusion	Bio-Mechanical Transfusion	1
Bio-Mechanical Transfusion	Биомеханическое переливание	2
Broken Drakken Laser Drill	Broken Drakken Laser Drill	1
Broken Drakken Laser Drill	Сломанная драккенская лазерная установка	1
Broken Solar Forge	Broken Solar Forge	1
Broken Solar Forge	Поврежденная солнечная кузница	1
Build Railgun Turret	Build Railgun Turret	1
Build Railgun Turret	Построить электромагнитную турель	2
Arsenal Overcharge	Arsenal Overcharge	2
Arsenal Overcharge	Перегрузка орудий	2
Solar Cannon	Solar Cannon	1
Solar Cannon	Солнечная пушка	1
Cloaking Field	Cloaking Field	2
Cloaking Field	Маскировочное поле	3
Spawn Swarm	Spawn Swarm	1
Spawn Swarm	Породить рой	1
Corrosive Acid	Corrosive Acid	1
Corrosive Acid	Едкая кислота	2
Cyclone Wreckage	Cyclone Wreckage	1
Cyclone Wreckage	Обломки «Циклона»	1
Damaged Evolution Pit	Damaged Evolution Pit	1
Damaged Evolution Pit	Поврежденный эволюционный отсек	2
Blink	Blink	1
Blink	Скачок	2
Devour	Devour	1
Devour	Пожирание	1
Intimidating Roar	Intimidating Roar	1
Intimidating Roar	Устрашающий рев	4
Leap	Leap	1
Leap	Прыжок	1
Primal Regeneration	Primal Regeneration	1
Primal Regeneration	Изначальная регенерация	2
Primal Mutation	Primal Mutation	1
Primal Mutation	Изначальная мутация	1
Swipe	Swipe	1
Swipe	Размах	1
Barrage of Spikes	Barrage of Spikes	1
Barrage of Spikes	Шквал шипов	3
Deploy Spider Mines	Deploy Spider Mines	2
Deploy Spider Mines	Установить паучьи мины	2
Diamondback Wreckage	Diamondback Wreckage	1
Diamondback Wreckage	Обломки «Аспида»	1
Drakken Laser Drill Attack	Drakken Laser Drill Attack	1
Drakken Laser Drill Attack	Выстрел из драккенской лазерной установки	2
Drakken Laser Drill Power Up	Drakken Laser Drill Power Up	1
Drakken Laser Drill Power Up	Драккенская лазерная установка - разогрев	1
Select Payload	Select Payload	1
Select Payload	Выбор груза	1
EMP	EMP	7
EMP	ЭМИ	2
Reclamation	Reclamation	2
Reclamation	Возвращение	6
Evolve to Brutalisk	Evolve to Brutalisk	1
Evolve to Brutalisk	Мутировать в бруталиска	4
Feedback	Feedback	4
Feedback	Противодействие	1
Solarite Flare	Solarite Flare	1
Solarite Flare	Соларитовая вспышка	1
Psionic Transfer	Psionic Transfer	1
Psionic Transfer	Псионный перенос	1
Goliath Wreckage	Goliath Wreckage	1
Goliath Wreckage	Обломки «Голиафа»	1
Headbutt	Headbutt	1
Headbutt	Удар головой	1
Jump Jet Assault	Jump Jet Assault	1
Jump Jet Assault	Реактивный рывок	1
Hellbat Wreckage	Hellbat Wreckage	1
Hellbat Wreckage	Обломки «Геллитрона»	1
Hellion Wreckage	Hellion Wreckage	1
Hellion Wreckage	Обломки «Геллиона»	1
Instant Seeker Missile	Instant Seeker Missile	2
Instant Seeker Missile	Мгновенная ракета «Гончая»	1
Maelstrom	Maelstrom	1
Maelstrom	Темный вихрь	3
Maelstrom	Шторм	1
Assimilation Aura	Assimilation Aura	1
Assimilation Aura	Аура ассимиляции	2
Leap Attack	Leap Attack	1
Leap Attack	Удар в прыжке	1
Mammoth Beam	Mammoth Beam	1
Mammoth Beam	Чудовищный луч	1
Mammoth Breath	Mammoth Breath	1
Mammoth Breath	Чудовищное дыхание	1
Mass Merc Drop	Mass Merc Drop	2
Mass Merc Drop	Массовая высадка наемников	1
Oppressive Stench	Oppressive Stench	1
Oppressive Stench	Удушающая вонь	2
Nuke	Nuke	5
Nuke	Ядерный удар	1
Phase Cannon	Phase Cannon	1
Phase Cannon	Фазовая пушка	1
Void Armor	Броня Пустоты	1
Void Armor	Доспех Пустоты	2
Shadow Blade	Shadow Blade	1
Shadow Blade	Теневой клинок	1
Terrifying Gobble	Terrifying Gobble	1
Terrifying Gobble	Ужасающее кулдыканье	2
Reanimate	Reanimate	2
Reanimate	Оживление	1
Wake Up!	Wake Up!	1
Wake Up!	Разбудить	1
Nova Griffin Bombing Run Activate	Nova Griffin Bombing Run Activate	1
Nova Griffin Bombing Run Activate	Активация бомбардировки «Грифона»	1
Nova Odin Annihilate	Nova Odin Annihilate	1
Nova Odin Annihilate	Аннигиляция «Одина» Новы	1
Penetrator Round	Penetrator Round	1
Penetrator Round	Выстрел патроном «Игла»	1
Dash Attack	Dash Attack	1
Dash Attack	Рывок	1
Nova Snipe Active	Nova Snipe Active	1
Nova Snipe Active	Нова – используется «Снайперский выстрел»	1
Odin Dash Attack	Odin Dash Attack	1
Odin Dash Attack	Рывок «Одина»	1
Phasing Mode	Phasing Mode	1
Phasing Mode	Фазовый режим	1
Corrosive Bile	Corrosive Bile	1
Corrosive Bile	Едкая желчь	1
Repair Solar Forge	Repair Solar Forge	1
Repair Solar Forge	Починить солнечную кузницу	1
Cluster Rockets	Cluster Rockets	1
Cluster Rockets	Кассетные ракеты	1
Fungal Growth	Fungal Growth	4
Fungal Growth	Микоз	3
Snare	Snare	1
Snare	Сковать	2
Shadow Fury	Shadow Fury	1
Shadow Fury	Ярость тени	2
Void Stasis	Void Stasis	1
Void Stasis	Стазис Пустоты	3
Structure Barrier	Structure Barrier	1
Structure Barrier	Барьер: строение	1
Siege Tank Wreckage	Siege Tank Wreckage	1
Siege Tank Wreckage	Обломки осадного танка	2
Spawn Toxic Nest	Spawn Toxic Nest	1
Spawn Toxic Nest	Породить токсичное гнездо	1
Domination	Domination	1
Domination	Подчинение	1
Spew	Spew	1
Spew	Рвота	2
Corruption	Corruption	5
Corruption	Порча	3
Stimpack	Stimpack	1
Stimpack	Стимуляторы	3
Stukov Coop Spawn Volatile Terrans	Stukov Coop Spawn Volatile Terrans	1
Stukov Coop Spawn Volatile Terrans	Стуков (совм.) - породить нестабильных терранов	1
Stukov Infested Wild Mutation	Stukov Infested Wild Mutation	1
Stukov Infested Wild Mutation	Стуков - заражение - дикая мутация	1
Devil Dogs	Devil Dogs	1
Devil Dogs	«Адские Псы»	5
Hammer Securities	Hammer Securities	1
Hammer Securities	«Топ-секьюрити»	4
Siege Breakers	Siege Breakers	1
Siege Breakers	«Мастера осады»	4
Skibis Angels	Skibis Angels	1
Skibis Angels	Ангелы Скиби	2
Tentacle Attack	Tentacle Attack	1
Tentacle Attack	Атака щупальцем	1
TerrazineNode On	TerrazineNode On	1
TerrazineNode On	Выход терразина вкл.	1
TerrazineNode Off	TerrazineNode Off	1
TerrazineNode Off	Выход терразина выкл.	1
Transport Mode	Transport Mode	1
Transport Mode	Режим транспортировки	1
Calldown Odin	Calldown Odin	1
Calldown Odin	Вызов «Одина»	2
Barrage	Barrage	1
Barrage	Артобстрел	3
Nuclear Strike	Nuclear Strike	1
Nuclear Strike	Ядерный удар	1
Demolition Charge	Demolition Charge	1
Demolition Charge	Разрушительный заряд	2
Shredder Grenade	Shredder Grenade	1
Shredder Grenade	Разрывная граната	1
Ultrasonic Pulse	Ultrasonic Pulse	1
Ultrasonic Pulse	Ультразвуковой импульс	1
Void Shard ACDeath Grip	Void Shard ACDeath Grip	1
Void Shard ACDeath Grip	Осколок Пустоты - хватка смерти - автоприменение	1
Void Shard ACShockwave	Void Shard ACShockwave	1
Void Shard ACShockwave	Осколок Пустоты - ударная волна - автоприменение	1
Void Shard ACUnstable Energy	Void Shard ACUnstable Energy	2
Void Shard ACUnstable Energy	Осколок Пустоты - нестабильная энергия - автоприменение	1
Void Shard ACUnstable Energy	Осколок Пустоты – нестабильная энергия – автоприменение	1
Void Shard ACVoid Zone	Void Shard ACVoid Zone	3
Void Shard ACVoid Zone	Осколок Пустоты - зона Пустоты - автоприменение	1
Ground Missile Volley	Ground Missile Volley	1
Ground Missile Volley	Обстрел противоназемными ракетами	1
Charge	Charge	1
Charge	Рывок	2
Wormhole Mode	Wormhole Mode	1
Wormhole Mode	Режим червоточины	1
Psionic Blast	Psionic Blast	1
Psionic Blast	Псионный заряд	1
Psionic Gale	Psionic Gale	1
Psionic Gale	Псионная буря	2
Bunker	Bunker	3
Bunker	Бункер	4
Reaper	Головорез	8
Reaper	Жнец	1
Leviathan	Стая Левиафан	17
Leviathan	Левиафан	3
War Pigs	Боевые кабаны	3
War Pigs	«Боевые кабаны»	3
Observer	Режим зрителя	1
Observer	Зритель	3
Predator	«Хищник»	2
Predator	хищник	1
Scourge	Плеть	4
