非晶态装甲云	Amorphous Armorcloud
战列巡航舰攻击	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
战列巡航舰移动	Battlecruiser Move
战列巡航舰停止	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
削减护甲	Bypass Armor
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Channel Snipe
时空提速能量消耗	Chrono Boost Energy Cost
黑暗圣坛研究	Dark Shrine Research
黑暗圣堂武士闪现	Dark Templar Blink
感染深渊研究	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
发射拦截机	Interceptor Launch
锁定空中	Lock On Air
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Lurker Den Research
潜伏者 移除 停火	Lurker Remove Hold Fire
变异为具有装载功能的王虫	Morph To Transport Overlord
星灵枢纽群体召回	Nexus Mass Recall
Nexus Shield Overcharge	Nexus Shield Overcharge
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off
星灵枢纽护盾充能	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
净化新星已定位	Purification Nova Targetted
修理无人机	Repair Drones
修理	Repair
扰频飞弹	Scrambler Missile
粉碎飞弹	Shredder Missile
星际争霸Ⅱ充能器	SC2 Battery
护盾充能	Shield Recharge
生成拦截机	Spawn Interceptors
孵化蝗虫瞄准	Spawn Locusts Targeted
干扰冲击	Disruption Blast
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Microbial Shroud
充能器超载	Battery Overcharge
稳定瞄准	Steady Targeting
时空提速	Chrono Boost
禁用拦截机	Disable Interceptors
缠绕	Entangle
拦截机限时生命	Interceptor Timed Life
拦截机 漫游	Interceptor Wander
神经寄生子	Neural Parasite Children
星灵枢纽护盾超载	Nexus Shield Overcharge
恢复力场	Restoration Field
正在折跃	Warping
相位变换	Phase Shift
干扰矩阵	Interference Matrix
护甲降低	Armor Reduction
反护甲飞弹追踪	Anti-Armor Missile Targeting
共鸣之刃	Resonating Glaives
哺液	Transfusion
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	Incoming ranged damage is reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Restoration rate increased. Not consuming energy.
该单位的护甲已被削减。	This unit's armor is reduced.
该单位正在专心地瞄准。	This unit is carefully aiming.
该建筑当前处于加速运作状态。	This structure is in an accelerated state.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	Target is affected by Fungal Growth. Target is detected and has restricted movement.
该单位被困在了地面，其武器失效。	This unit is grounded and weapons are disabled.
该单位的移动速度提高了。	This unit has increased movement speed.
该单位正受到感染者的控制。	This unit is being controlled by an Infestor.
这个水晶塔可以为附近的友方单位恢复护盾。	This Pylon restores shields of friendly units nearby.
单位的护盾正在恢复。	Unit's shields are being restored.
该单位无敌并能穿过其它单位。	This unit is invulnerable and is able to move through other units.
该水晶塔拥有强大的远程攻击能力。	This Pylon has a powerful long-ranged attack.
武器和技能被禁用。	Weapons and abilities are disabled.
该单位的护甲被降低了。	This unit has reduced armor.
该单位正被一枚反护甲飞弹追踪。	This unit is being targeted by an Anti-Armor Missile.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位已昏迷。	This unit is stunned.
该单位的攻击和移动速度降低50%。	This unit's attack and movement speeds are reduced by 50%.
该单位正在持续恢复生命值。	This unit is regenerating health.
静滞陷阱	Stasis Trap
研究共鸣之刃	Research Resonating Glaives
护盾扩增	Shield Amplification
航母舱容	Carrier Capacity
高级通信阵列	Advanced Communications Array
地对空瞄准	Surface-To-Air Targeting
高速发射器	Rapid Fire Launchers
研究电磁力场加速器	Research Mag-Field Accelerator
暗影步	Shadow Stride
钻地之爪	Drilling Claws
强化冲击波	Enhanced Shockwaves
进化微生物环绕云	Evolve Microbial Shroud
进化适应之爪	Evolve Adaptive Talons
进化深槽脊刺	Evolve Grooved Spines
进化肌腱扩增	Evolve Muscular Augments
进化挤压蠕动	Evolve Propulsive Peristalsis
扩大攻击范围	Increased Attack Range
提高移动速度	Increased Movement Speed
KD8型炸弹	KD8 Charge
选择幼虫	Select Larva
磁场发射器	Mag-Field Launchers
侦测器模式	Observer Mode
监察模式	Surveillance Mode
变异腹囊	Mutate Ventral Sacs
取消超距视界	Cancel Oversight
超距视界	Oversight
战术召回	Strategic Recall
星灵枢纽护盾超载关闭	Nexus Shield Overcharge Off
钻地鳞片	Subterranean Scales
灵能奔涌	Psionic Surge
净化新星	Purification Nova
快速二次点火系统	Rapid Reignition System
变异为破坏者	Morph To Ravager
强化弹药	Enhanced Munitions
精调炸弹	Recalibrated Explosives
建造修理无人机	Build Repair Drone
研究强化弹药	Research Enhanced Munitions
反护甲飞弹	Anti-Armor Missile
研究护盾扩增	Research Shield Amplification
研究增能护盾	Research Amplified Shielding
研究穿甲火箭	Research Armor Piercing Rockets
研究航母舱容	Research Carrier Capacity
研究高级通信阵列	Research Advanced Communications Array
研究高速发射器	Research Rapid Fire Launchers
研究暗影步	Research Shadow Stride
研究强化冲击波	Research Enhanced Shockwaves
研究磁场发射器	Research Mag-Field Launchers
