非晶态装甲云	Armure de brume
战列巡航舰攻击	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
战列巡航舰移动	Battlecruiser Move
战列巡航舰停止	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Channel Snipe
时空提速能量消耗	Chrono Boost Energy Cost
黑暗圣坛研究	Dark Shrine Research
黑暗圣堂武士闪现	Dark Templar Blink
感染深渊研究	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
发射拦截机	Lancement de l’intercepteur
锁定空中	Verrouillage cible aérienne
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Lurker Den Research
潜伏者 移除 停火	Lurker Remove Hold Fire
变异为具有装载功能的王虫	Morph To Transport Overlord
星灵枢纽群体召回	Nexus Mass Recall
Nexus Shield Overcharge	Nexus Shield Overcharge
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off
星灵枢纽护盾充能	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
净化新星已定位	Purification Nova Targetted
修理无人机	Drones réparateurs
扰频飞弹	Scrambler Missile
粉碎飞弹	Shredder Missile
护盾充能	Recharge de bouclier
生成拦截机	Spawn Interceptors
孵化蝗虫瞄准	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Au sol pour mouvement d’attaque<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Annuler
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Voile microbien
充能器超载	Surcharge de batterie
稳定瞄准	Visée stabilisée
禁用拦截机	Désactiver les intercepteurs
缠绕	Enchevêtrer
拦截机限时生命	Intercepteur - espérance de vie
拦截机 漫游	Intercepteur vagabond
恢复力场	Champ de restauration
正在折跃	Transfert en cours
干扰矩阵	Matrice d’interférences
护甲降低	Réduction d’armure
反护甲飞弹追踪	Ciblage de missile anti-armure
共鸣之刃	Glaives de résonance
哺液	Transfusion
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	Les dégâts infligés par les unités aériennes sont réduits de <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Taux de restauration augmenté. Aucune consommation d’énergie.
该单位的护甲已被削减。	L’armure de cette unité est réduite.
该单位正在专心地瞄准。	Cette unité ajuste sa visée.
该建筑当前处于加速运作状态。	Le fonctionnement de ce bâtiment est accéléré.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	La cible est affectée par Croissance fongique. Elle ne peut se camoufler et ses déplacements sont limités.
该单位被困在了地面，其武器失效。	Cette unité est clouée au sol et ses armes sont désactivées.
该单位的移动速度提高了。	Cette unité bénéficie d’une vitesse de déplacement accrue.
该单位正受到感染者的控制。	Cette unité est contrôlée par un infestateur.
这个水晶塔可以为附近的友方单位恢复护盾。	Ce pylône restaure le bouclier des unités alliées proches.
单位的护盾正在恢复。	Les points de bouclier de l’unité sont restaurés.
该单位无敌并能穿过其它单位。	Cette unité est invulnérable et capable de traverser les autres unités.
该水晶塔拥有强大的远程攻击能力。	Ce pylône possède une puissante attaque à longue portée.
武器和技能被禁用。	Neutralise les armes et les capacités.
该单位的护甲被降低了。	Les points d’armure de cette unité sont réduits.
该单位正被一枚反护甲飞弹追踪。	Cette unité est la cible d’un missile anti-armure.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Augmente la vitesse d’attaque de l’adepte de  <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位已昏迷。	Cette unité est étourdie.
该单位的攻击和移动速度降低50%。	Les vitesses de déplacement et d’attaque de cette unité sont réduites de 50%.
该单位正在持续恢复生命值。	Cette unité récupère des points de vie.
静滞陷阱	Piège de stase
研究共鸣之刃	Rechercher Glaives de résonance
护盾扩增	Amplification de bouclier
航母舱容	Capacité maximale des porte-nefs
高级通信阵列	Matrice de communication avancée
地对空瞄准	Ciblage sol-air
高速发射器	Tirs en rafale
研究电磁力场加速器	Rechercher Accélérateur de champ magnétique
暗影步	Brèche d’ombre
钻地之爪	Griffes foreuses
强化冲击波	Ondes de choc améliorées
进化微生物环绕云	Évolution Voile microbien
进化适应之爪	Évolution Griffes falciformes
进化深槽脊刺	Évolution Aiguillons fuselés
进化肌腱扩增	Évolution Implants musculaires
进化挤压蠕动	Évolution Propulsion péristaltique
扩大攻击范围	Portée d’attaque augmentée
提高移动速度	Vitesse de déplacement augmentée
选择幼虫	Sélectionner les larves
磁场发射器	Amplificateurs de champ magnétique
侦测器模式	Mode observateur
监察模式	Mode surveillance
变异腹囊	Mutation Poches ventrales
取消超距视界	Annuler Vigilance
超距视界	Vigilance
战术召回	Rappel stratégique
钻地鳞片	Squames souterraines
灵能奔涌	Impulsion psionique
快速二次点火系统	Système d’allumage auxiliaire
强化弹药	Munitions améliorées
精调炸弹	Explosifs recalibrés
建造修理无人机	Construire un drone réparateur
研究强化弹药	Rechercher Munitions améliorées
反护甲飞弹	Missile anti-armure
研究护盾扩增	Rechercher Amplification de bouclier
研究增能护盾	Rechercher Bouclier amplifié
研究穿甲火箭	Rechercher Roquettes antiblindage
研究航母舱容	Rechercher Capacité maximale des porte-nefs
研究高级通信阵列	Rechercher Matrice de communication avancée
研究高速发射器	Rechercher Tirs en rafale
研究暗影步	Rechercher Brèche d’ombre
研究强化冲击波	Rechercher Ondes de choc améliorées
