削减护甲	Bypass Armor	1
削减护甲	Osłab pancerz	3
修理	Repair	4
修理	Naprawa	1
干扰冲击	Disruption Blast	1
干扰冲击	Pocisk destabilizujący	2
时空提速	Chrono Boost	3
时空提速	Zagięcie czasoprzestrzeni	2
星灵枢纽护盾超载	Nexus Shield Overcharge	1
星灵枢纽护盾超载	Przeciążenie osłon nexusa	2
相位变换	Phase Shift	1
相位变换	Przesunięcie fazowe	2
哺液	Transfusion	2
哺液	Transfuzja	1
该单位的护甲被降低了。	Pancerz tej jednostki został osłabiony.	1
该单位的护甲被降低了。	Ta jednostka ma osłabiony pancerz.	1
该单位已昏迷。	Jednostka jest ogłuszona.	4
该单位已昏迷。	Ta jednostka jest ogłuszona.	3
KD8型炸弹	KD8 Charge	1
KD8型炸弹	Ładunek KD8	2
星灵枢纽护盾超载关闭	Nexus Shield Overcharge Off	1
星灵枢纽护盾超载关闭	Przeciążenie osłon nexusa wył.	1
净化新星	Purification Nova	1
净化新星	Oczyszczający rozbłysk	2
变异为破坏者	Morph To Ravager	1
变异为破坏者	Przekształć w pustoszyciela	1
恢复	Restitution	1
恢复	Przywróć	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Mobilny pojazd szturmowy. Może korzystać z namierzania, aby prowadzić szybki ostrzał w ruchu.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Mobilny pojazd szturmowy. Może korzystać z namierzania, aby prowadzić szybki ostrzał w ruchu.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>	1
拦截机	Interceptors	2
拦截机	Przechwytywacz	1
拦截机	Przechwytywacze	1
瓦解射线	Disruption Beam	2
瓦解射线	Promień rozrywający	1
脉冲光线	Pulsar Beam	1
脉冲光线	Wiązka pulsarowa	4
棱镜光束	Wiązka pryzmatyczna	2
棱镜光束	Prismatic Beam	15
预视	Envision	1
预视	Wizja	2
先知武器	Oracle Weapon	1
先知武器	Broń wyroczni	1
雷兽武器冷却时间	Ultralisk Weapon Cooldown	1
雷兽武器冷却时间	Ultralisk Broń Czas odnowienia	1
虫群之心虚空辉光舰伤害提升	Void Ray Swarm Damage Boost	1
虫群之心虚空辉光舰伤害提升	Promień otchłani Swarm Obrażenia Zwiększenie	1
虚空虹吸	Void Siphon	1
虚空虹吸	Wyssanie otchłani	2
猎杀飞弹	Seeker Missile	1
猎杀飞弹	Pocisk Łowca	2
猎杀飞弹	Łowca	1
群体召回	Mass Recall	6
群体召回	Przywołanie zbiorcze	1
岩石	Skały	12
岩石	Skała	6
强酸脊刺	Acid Spines	2
强酸脊刺	Kolce kwasowe	1
联合指挥官	Sprzymierzeni dowódcy	1
联合指挥官	SPRZYMIERZENI DOWÓDCY	20
着陆	Land	3
着陆	Ląduj	1
升空	Lift Off	3
升空	Wzlot	1
战机模式	Fighter Mode	1
战机模式	Tryb myśliwski	1
研发	Research	1
研发	BADANIA	2
研发	Badania	1
停火	Hold Fire	1
停火	Wstrzymanie ognia	1
自由射击	Weapons Free	2
自由射击	Podejmij ostrzał	1
治疗	Heal	2
治疗	Lecz	1
应急推进器	Emergency Thrusters	1
应急推进器	Dopalacze	2
攻城模式	Siege	1
攻城模式	Tryb oblężniczy	1
建造	Construct	1
建造	Stwórz	1
载具后燃充能	Vehicle Afterburners	1
载具后燃充能	Dopalacze pojazdu	1
迷宫式隐形迷彩	Zapłon pirokinetyczny	1
迷宫式隐形迷彩	Maskowanie labiryntowe	2
轰炸	Bombardment	1
轰炸	Bombardowanie	1
回收	Salvage	1
回收	Złomuj	1
回收	Złomowanie	1
采集	Gather	1
采集	Gromadź	5
大和炮	Yamato Gun	1
大和炮	Ogniomistrz Yamato	2
大和炮	Działo Yamato	1
大和炮	Yamato	1
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Potężny okręt wojenny Gwardii Imperialnej. Może korzystać z działa Yamato i skoku taktycznego.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>	1
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Potężny okręt wojenny Gwardii Imperialnej. Może korzystać z działa Yamato i skoku taktycznego. Powstaje w porcie gwiezdnym.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>	1
建造在瓦斯气泉上，用于采集高能瓦斯。	Przyzwany na gejzer z wespanem, pozwala na wydobywanie gazu.	1
建造在瓦斯气泉上，用于采集高能瓦斯。	Przyzwany na gejzer z wespanem pozwala na wydobywanie gazu.	1
建造在瓦斯气泉上，用于采集高能瓦斯。	Mutuje na gejzerze z wespanem. Pozwala na wydobywanie gazu.	2
建造在瓦斯气泉上，用于采集高能瓦斯。	Stawiana na gejzerze z wespanem. Pozwala na wydobycie gazu.	2
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Wyspecjalizowana jednostka przeciwlotnicza. Może się przełączyć na kombinezon robotnika.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>	1
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Wyspecjalizowana jednostka przeciwpiechotna. Może się przełączyć na kombinezon robotnika.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>	1
空对空激光炮组	ATA Laser Battery	2
空对空激光炮组	Bateria laserowa P-P	2
空对地激光炮组	ATS Laser Battery	2
空对地激光炮组	Bateria laserowa P-Z	2
C-10型霰弹步枪	C-10 Canister Rifle	1
C-10型霰弹步枪	Karabin kartaczowy C-10	1
+~A~%	+~A~%	44
+~A~%	+~A~ procent	1
+~A~	+~A~ pkt.	5
+~A~	+~A~	1
长箭飞弹	Longbolt Missile	3
长箭飞弹	Rakieta Longbolt	2
骨针	Needle Spines	3
骨针	Igłokolce	2
惩罚者榴弹	Punisher Grenades	4
惩罚者榴弹	Granaty Punisher	2
利爪	Talons	2
利爪	Szpony	6
潜地	Burrow	2
潜地	Zagrzeb	2
潜地	Zagrzebanie	1
出地	Unburrow	1
出地	Wygrzeb	1
腐蚀喷液	Caustic Spray	1
腐蚀喷液	Palący rozprysk	1
“艾的急切”超载	F.A.S.T. Overload	1
“艾的急切”超载	Przeciążenie Z.R.Y.W.	2
“艾的呵护”超载	H.U.G.S. Overload	1
“艾的呵护”超载	Przeciążenie F.O.R.M.A.	2
“艾的滋润”超载	J.U.I.C.E. Overload	1
“艾的滋润”超载	Przeciążenie M.O.C.E.	2
扎根	Root	2
扎根	Zakorzeń	2
站起	Uproot	2
站起	Wykorzeń	2
冲锋	Szarżujący	1
冲锋	Szarża	2
研究机械飞蝗截击机舱室	Opracuj hangary mechaszarańczo-przechwytywaczy	1
研究机械飞蝗截击机舱室	Opracuj hangar mechaszarańczo-przechwytywaczy	1
取消	Anuluj	9
取消	Cancel	1
取消	ANULUJ	4
爆炸	Explode	1
爆炸	Wybuch	1
爆炸	Odrzut	1
残骸回收器	Recykling szczątków	1
残骸回收器	Recyklator szczątków	1
机械跳虫	Mechazergling	1
机械跳虫	Mecha-zergling	1
自毁型单位。爆炸时能够造成小范围的伤害。<n/><n/><c val="ffff8a">可以对地。</c>	Jednostka samobójcza. W momencie śmierci dokonuje zniszczeń na małym obszarze. <n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>	2
自毁型单位。爆炸时能够造成小范围的伤害。<n/><n/><c val="ffff8a">可以对地。</c>	Jednostka samobójcza. Po śmierci zadaje obrażenia na małym obszarze.<n/><n/><c val="ffff8a">Atakuje cele naziemne.</c>	1
“爱心区域”每秒给予斯台特曼的单位<d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffSelfStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ + Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationSelfDisplayDummy,Amount" precision = "2"  player = "current"/>点艾能恢复。盟友单位每秒获得<d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffAllyStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ +  Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationAllyDisplayDummy,Amount" precision = "2"  player = "current"/>点能量恢复。	Pozwala stetopolom zapewniać jednostkom Stetmanna regenerację <d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffSelfStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ + Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationSelfDisplayDummy,Amount" precision = "2"  player = "current"/> pkt. egonergii na sekundę. Jednostki sojusznicze regenerują <d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffAllyStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ +  Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationAllyDisplayDummy,Amount" precision = "2"  player = "current"/> pkt. egonergii na sekundę.	1
“爱心区域”每秒给予斯台特曼的单位<d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffSelfStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ + Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationSelfDisplayDummy,Amount" precision = "2"  player = "current"/>点艾能恢复。盟友单位每秒获得<d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffAllyStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ +  Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationAllyDisplayDummy,Amount" precision = "2"  player = "current"/>点能量恢复。	Stetopola zapewniają jednostkom Stetmanna regenerację <d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffSelfStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ + Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationSelfDisplayDummy,Amount" precision = "2"  player = "current"/> pkt. egonergii na sekundę. Jednostki sojusznicze regenerują <d ref="$UpgradeEffectArrayValue:PowerFieldEnergyRegeneration:Behavior,PowerFieldBuffAllyStetmann,PowerStageArray[1].Modification.VitalRegenArray[Energy]$ +  Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationAllyDisplayDummy,Amount" precision = "2"  player = "current"/> pkt. egonergii na sekundę.	1
